Campaign Member ID,Contact ID,Campaign Name,Last Touch Channel,Campaign Response Date,Interaction Status,Account Type,Account Tier,Region,Meeting Booked,Meeting Booked Date,Opportunity ID,Timestamp Date Qualified,Pipeline Revenue Share,Opportunity Stage,Closed Won CARR,AE Owner
CM-11879,CON-51879,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-15,No Show,Prospect,Tier 1,Southwest,No,,,,,,,David Kim
CM-10377,CON-50377,CY26 Q1 - Hosted - Elevate Conference Utah Dinner - 2026-02-05,Hosted Events,2026-02-08,Attended,Prospect,Tier 1,Northeast,No,,,,,,,Sarah Mitchell
CM-10084,CON-50084,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-14,No Show,Customer,Tier 1,Southeast,No,,,,,,,Sarah Mitchell
CM-11365,CON-51365,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-02-01,Gift Delivered,Prospect,Enterprise,Northeast,Yes,2026-02-23,OPP-80155,2026-03-16,53800.0,Closed Lost,,Rachel Torres
CM-11471,CON-51471,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-25,Badge Scan,Prospect,Tier 2,Northeast,No,,,,,,,David Kim
CM-10371,CON-50371,CY26 Q1 - Hosted - Elevate Conference Utah Dinner - 2026-02-05,Hosted Events,2026-02-08,Attended,Customer,Enterprise,Southeast,No,,,,,,,Marcus Webb
CM-11817,CON-51817,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-13,Registered,Prospect,Tier 2,Northeast,No,,,,,,,Rachel Torres
CM-11121,CON-51121,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Churned,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-11376,CON-51376,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-02-01,Gift Delivered,Prospect,Tier 1,Northeast,No,,,,,,,David Kim
CM-12495,CON-52495,[Direct Traffic],Direct Traffic,2026-03-12,-,Prospect,Enterprise,Southwest,No,,,,,,,Marcus Webb
CM-12341,CON-52341,[Organic Search],Organic Search,2026-03-29,-,Churned,Enterprise,Midwest,No,,,,,,,David Kim
CM-10500,CON-50500,CY26 Q1 - Hosted - HMR After Dark Party - 2026-01-26,Hosted Events,2026-01-26,Attended,Customer,Enterprise,Northeast,No,,,,,,,James O'Brien
CM-12486,CON-52486,[Direct Traffic],Direct Traffic,2026-03-05,-,Prospect,Tier 2,West,No,,,,,,,Sarah Mitchell
CM-12366,CON-52366,[Organic Search],Organic Search,2026-01-31,-,Prospect,Tier 1,Southwest,No,,,,,,,James O'Brien
CM-10492,CON-50492,CY26 Q1 - Hosted - HMR After Dark Party - 2026-01-26,Hosted Events,2026-01-24,No Show,Customer,Enterprise,West,No,,,,,,,Sarah Mitchell
CM-10858,CON-50858,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-03,Gift Delivered,Churned,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-10663,CON-50663,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Prospect,Enterprise,Southwest,No,,,,,,,Rachel Torres
CM-10972,CON-50972,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-11966,CON-51966,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-11,Clicked,Customer,Tier 2,West,No,,,,,,,Marcus Webb
CM-10462,CON-50462,CY26 Q1 - Hosted - Golden State Warriors vs Denver Nuggets - 2026-02-02,Hosted Events,2026-02-04,No Show,Customer,Enterprise,Southeast,No,,,,,,,Marcus Webb
CM-11484,CON-51484,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-22,Badge Scan,Customer,Tier 1,Southeast,No,,,,,,,David Kim
CM-11465,CON-51465,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-22,Visited Booth,Customer,Tier 2,Southwest,No,,,,,,,David Kim
CM-12505,CON-52505,[Direct Traffic],Direct Traffic,2026-03-06,-,Prospect,Tier 2,Southeast,No,,,,,,,David Kim
CM-11009,CON-51009,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-05,Gift Delivered,Prospect,Tier 1,Midwest,No,,,,,,,Marcus Webb
CM-11928,CON-51928,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-10,Registered,Customer,Tier 1,Southwest,No,,,,,,,David Kim
CM-10248,CON-50248,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-12,Attended,Prospect,Tier 1,Southeast,No,,,,,,,Rachel Torres
CM-10758,CON-50758,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-07,Gift Delivered,Prospect,Enterprise,Northeast,No,,,,,,,Rachel Torres
CM-11799,CON-51799,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-16,Registered,Prospect,Tier 2,Southwest,No,,,,,,,James O'Brien
CM-10816,CON-50816,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Customer,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-12434,CON-52434,[Organic Search],Organic Search,2026-02-27,-,Prospect,Tier 2,Midwest,No,,,,,,,Marcus Webb
CM-11427,CON-51427,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-30,Gift Delivered,Churned,Tier 1,Southeast,No,,,,,,,James O'Brien
CM-10882,CON-50882,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-08,Gift Delivered,Prospect,Enterprise,Southwest,No,,,,,,,Sarah Mitchell
CM-10012,CON-50012,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-25,No Show,Prospect,Enterprise,Southeast,No,,,,,,,David Kim
CM-11851,CON-51851,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-11,Attended,Prospect,Tier 2,Southeast,No,,,,,,,David Kim
CM-11673,CON-51673,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-04,Badge Scan,Prospect,Enterprise,Northeast,Yes,2026-03-23,,,,,,Sarah Mitchell
CM-10848,CON-50848,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-09,Gift Delivered,Prospect,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-10194,CON-50194,CY26 Q1 - Hosted - Buffalo Sabres - 2026-02-05,Hosted Events,2026-02-03,Registered,Prospect,Tier 1,Southwest,No,,,,,,,Rachel Torres
CM-11040,CON-51040,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-09,Gift Delivered,Prospect,Tier 1,Southwest,No,,,,,,,Marcus Webb
CM-12133,CON-52133,[Paid Search],Paid Search,2026-01-15,-,Prospect,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-10986,CON-50986,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-11,Gift Delivered,Customer,Tier 2,Southeast,No,,,,,,,David Kim
CM-10191,CON-50191,CY26 Q1 - Hosted - Buffalo Sabres - 2026-02-05,Hosted Events,2026-02-03,Attended,Customer,Tier 2,Southwest,Yes,2026-02-09,OPP-80041,2026-03-03,72900.0,Closed Lost,,David Kim
CM-11089,CON-51089,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-07,Gift Delivered,Churned,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-10471,CON-50471,CY26 Q1 - Hosted - HMR After Dark Party - 2026-01-26,Hosted Events,2026-01-24,No Show,Customer,Tier 2,Southwest,No,,,,,,,David Kim
CM-11738,CON-51738,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-03,Visited Booth,Prospect,Tier 1,Southwest,Yes,2026-03-16,OPP-80193,2026-03-31,95600.0,Closed Lost,,Marcus Webb
CM-11868,CON-51868,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-16,No Show,Prospect,Tier 1,Southeast,No,,,,,,,David Kim
CM-11066,CON-51066,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-10,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-10853,CON-50853,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-05,Gift Delivered,Churned,Tier 2,West,No,,,,,,,Marcus Webb
CM-10919,CON-50919,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-19,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-12538,CON-52538,[Direct Traffic],Direct Traffic,2026-03-17,-,Prospect,Tier 1,Southeast,No,,,,,,,Rachel Torres
CM-12165,CON-52165,[Paid Search],Paid Search,2026-03-20,-,Prospect,Enterprise,Southwest,No,,,,,,,David Kim
CM-10453,CON-50453,CY26 Q1 - Hosted - Golden State Warriors vs Denver Nuggets - 2026-02-02,Hosted Events,2026-02-02,Registered,Customer,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-10752,CON-50752,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-05,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-11039,CON-51039,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-07,Gift Delivered,Customer,Enterprise,West,No,,,,,,,David Kim
CM-11329,CON-51329,CY26 Q1 direct-mail-1many-oreos-6pack (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Customer,Tier 2,West,No,,,,,,,Rachel Torres
CM-11481,CON-51481,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-18,Visited Booth,Prospect,Enterprise,Northeast,No,,,,,,,Sarah Mitchell
CM-10173,CON-50173,CY26 Q1 - Hosted - Broncos Playoff Game - 2026-01-17,Hosted Events,2026-01-21,Attended,Customer,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-12291,CON-52291,[Paid Search],Paid Search,2026-01-16,-,Churned,Tier 1,Midwest,No,,,,,,,Rachel Torres
CM-10978,CON-50978,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-10,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,Marcus Webb
CM-12330,CON-52330,[Paid Social],Paid Social,2026-02-02,-,Prospect,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-11219,CON-51219,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Enterprise,West,Yes,2026-03-02,,,,,,Sarah Mitchell
CM-11486,CON-51486,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-22,Registered,Prospect,Tier 1,Northeast,No,,,,,,,Rachel Torres
CM-10545,CON-50545,CY26 Q1 direct-mail-1few-apple-watch (1/30/26),Direct Mail,2026-02-02,Gift Delivered,Customer,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-11266,CON-51266,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Churned,Tier 1,Southwest,No,,,,,,,David Kim
CM-11496,CON-51496,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-23,Attended,Prospect,Tier 1,Northeast,No,,,,,,,Sarah Mitchell
CM-11132,CON-51132,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Tier 1,Northeast,No,,,,,,,Marcus Webb
CM-12106,CON-52106,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-02-27,Opened,Prospect,Tier 2,Midwest,No,,,,,,,David Kim
CM-11069,CON-51069,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-09,Gift Delivered,Churned,Enterprise,Northeast,No,,,,,,,Marcus Webb
CM-12360,CON-52360,[Organic Search],Organic Search,2026-01-17,-,Prospect,Tier 2,Northeast,No,,,,,,,James O'Brien
CM-12308,CON-52308,[Paid Social],Paid Social,2026-03-14,-,Prospect,Enterprise,Midwest,No,,,,,,,Sarah Mitchell
CM-10746,CON-50746,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-03,Gift Delivered,Prospect,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-10050,CON-50050,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-08,Attended,Prospect,Tier 1,Northeast,No,,,,,,,James O'Brien
CM-10743,CON-50743,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,David Kim
CM-11375,CON-51375,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-31,-,Prospect,Tier 2,West,No,,,,,,,James O'Brien
CM-11107,CON-51107,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-10,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,David Kim
CM-10794,CON-50794,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-07,Gift Delivered,Prospect,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-12041,CON-52041,CY26 Q1 - Email - Anthem Injury Lawyers ROI,Email Marketing,2026-02-23,Opened,Customer,Tier 1,Southwest,No,,,,,,,Sarah Mitchell
CM-10114,CON-50114,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-13,Attended,Customer,Tier 1,Southeast,Yes,2026-02-02,,,,,,James O'Brien
CM-10003,CON-50003,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-25,Attended,Churned,Tier 1,Southwest,Yes,2026-03-16,OPP-80002,2026-03-25,131600.0,Closed Lost,,David Kim
CM-12498,CON-52498,[Direct Traffic],Direct Traffic,2026-01-22,-,Prospect,Enterprise,Southwest,No,,,,,,,Rachel Torres
CM-10447,CON-50447,CY26 Q1 - Hosted - Florida Panthers - 2026-02-04,Hosted Events,2026-02-06,Registered,Prospect,Enterprise,Midwest,No,,,,,,,Marcus Webb
CM-11238,CON-51238,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-20,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,Marcus Webb
CM-10958,CON-50958,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,James O'Brien
CM-11577,CON-51577,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-10,Attended,Prospect,Tier 2,Southeast,No,,,,,,,Sarah Mitchell
CM-12256,CON-52256,[Paid Search],Paid Search,2026-01-22,-,Prospect,Tier 2,Northeast,No,,,,,,,David Kim
CM-12396,CON-52396,[Organic Search],Organic Search,2026-02-12,-,Churned,Tier 2,Southeast,No,,,,,,,Rachel Torres
CM-11503,CON-51503,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-23,Badge Scan,Churned,Tier 2,Southwest,No,,,,,,,David Kim
CM-10678,CON-50678,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-06,-,Prospect,Enterprise,West,No,,,,,,,James O'Brien
CM-10355,CON-50355,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-27,Attended,Prospect,Tier 1,Southeast,Yes,2026-01-28,OPP-80078,2026-02-12,49400.0,Negotiation,,Rachel Torres
CM-11093,CON-51093,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-08,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,David Kim
CM-10091,CON-50091,CY26 Q1 - Hosted - Big East Tournament - 2026-03-13,Hosted Events,2026-03-13,Attended,Prospect,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-10244,CON-50244,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-15,Attended,Customer,Tier 1,Northeast,No,,,,,,,Rachel Torres
CM-10991,CON-50991,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-11,Gift Delivered,Churned,Enterprise,West,No,,,,,,,James O'Brien
CM-10042,CON-50042,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-07,Attended,Customer,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-12181,CON-52181,[Paid Search],Paid Search,2026-01-15,-,Prospect,Tier 2,Northeast,No,,,,,,,Rachel Torres
CM-10142,CON-50142,CY26 Q1 - Hosted - Broncos Playoff Game - 2026-01-17,Hosted Events,2026-01-15,Attended,Prospect,Tier 1,Southeast,Yes,2026-01-29,OPP-80033,2026-02-23,167600.0,Closed Lost,,Rachel Torres
CM-11731,CON-51731,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-09,Visited Booth,Customer,Tier 1,Northeast,No,,,,,,,Sarah Mitchell
CM-10045,CON-50045,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-09,Attended,Prospect,Tier 2,Northeast,Yes,2026-01-19,OPP-80010,2026-02-12,90000.0,Closed Lost,,Rachel Torres
CM-10881,CON-50881,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-05,Gift Delivered,Prospect,Enterprise,Northeast,No,,,,,,,Sarah Mitchell
CM-11379,CON-51379,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-27,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,Rachel Torres
CM-10139,CON-50139,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-10,Registered,Prospect,Tier 1,Northeast,Yes,2026-01-27,,,,,,James O'Brien
CM-11787,CON-51787,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-13,Registered,Prospect,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-11992,CON-51992,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-12,Opened,Prospect,Tier 1,Southwest,Yes,2026-01-19,OPP-80202,2026-02-02,138300.0,Closed Won,138300.0,Sarah Mitchell
CM-10648,CON-50648,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-10,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,Rachel Torres
CM-10993,CON-50993,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-09,Gift Delivered,Churned,Tier 2,Northeast,Yes,2026-02-11,OPP-80143,2026-03-06,23600.0,Closed Lost,,Marcus Webb
CM-11052,CON-51052,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-09,Gift Delivered,Customer,Tier 2,West,No,,,,,,,Sarah Mitchell
CM-10691,CON-50691,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-07,-,Prospect,Tier 2,West,No,,,,,,,Marcus Webb
CM-10096,CON-50096,CY26 Q1 - Hosted - Big East Tournament - 2026-03-13,Hosted Events,2026-03-13,Attended,Prospect,Enterprise,West,No,,,,,,,James O'Brien
CM-10981,CON-50981,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,David Kim
CM-12084,CON-52084,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-03-04,Clicked,Prospect,Tier 1,Southwest,No,,,,,,,David Kim
CM-10437,CON-50437,CY26 Q1 - Hosted - Florida Panthers - 2026-02-04,Hosted Events,2026-02-04,No Show,Churned,Enterprise,Southeast,No,,,,,,,Marcus Webb
CM-11877,CON-51877,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-13,No Show,Prospect,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-11709,CON-51709,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-10,Badge Scan,Prospect,Tier 1,Southeast,No,,,,,,,Rachel Torres
CM-11573,CON-51573,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-18,Attended,Prospect,Enterprise,West,No,,,,,,,Sarah Mitchell
CM-10976,CON-50976,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-25,-,Customer,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-10354,CON-50354,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-31,Attended,Prospect,Tier 2,Northeast,Yes,2026-02-17,,,,,,David Kim
CM-10669,CON-50669,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-07,Gift Delivered,Prospect,Tier 1,Northeast,No,,,,,,,David Kim
CM-11170,CON-51170,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-23,-,Prospect,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-11677,CON-51677,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-09,Attended,Prospect,Tier 1,Midwest,No,,,,,,,Marcus Webb
CM-12402,CON-52402,[Organic Search],Organic Search,2026-03-10,-,Churned,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-12534,CON-52534,[Direct Traffic],Direct Traffic,2026-02-17,-,Prospect,Tier 2,Midwest,Yes,2026-03-04,OPP-80240,2026-03-16,40300.0,Negotiation,,James O'Brien
CM-12006,CON-52006,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-01-30,Opened,Prospect,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-10679,CON-50679,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Prospect,Tier 1,Southwest,No,,,,,,,David Kim
CM-11795,CON-51795,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-17,No Show,Prospect,Tier 2,Midwest,No,,,,,,,Marcus Webb
CM-12042,CON-52042,CY26 Q1 - Email - Anthem Injury Lawyers ROI,Email Marketing,2026-02-21,-,Prospect,Tier 1,Southwest,No,,,,,,,Marcus Webb
CM-11973,CON-51973,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-09,Clicked,Customer,Tier 1,Southeast,No,,,,,,,Sarah Mitchell
CM-10267,CON-50267,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-15,Attended,Prospect,Tier 1,Midwest,Yes,2026-01-19,OPP-80058,2026-01-23,106100.0,Closed Won,106100.0,David Kim
CM-10407,CON-50407,CY26 Q1 - Hosted - FJA Ski Weekend - Private Dinner for 10 - 2026-01-11,Hosted Events,2026-01-10,Attended,Prospect,Tier 1,Northeast,No,,,,,,,David Kim
CM-12046,CON-52046,CY26 Q1 - Email - Anthem Injury Lawyers ROI,Email Marketing,2026-02-25,Opened,Churned,Tier 2,Northeast,No,,,,,,,Rachel Torres
CM-10387,CON-50387,CY26 Q1 - Hosted - Elevate Conference Utah Dinner - 2026-02-05,Hosted Events,2026-02-08,Registered,Customer,Tier 1,Midwest,No,,,,,,,Rachel Torres
CM-12047,CON-52047,CY26 Q1 - Email - Anthem Injury Lawyers ROI,Email Marketing,2026-02-23,Clicked,Prospect,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-11981,CON-51981,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-07,Opened,Prospect,Tier 2,Midwest,No,,,,,,,Marcus Webb
CM-10600,CON-50600,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-21,Gift Delivered,Prospect,Tier 1,Midwest,Yes,2026-02-09,OPP-80129,2026-03-02,207900.0,Closed Lost,,James O'Brien
CM-10566,CON-50566,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-26,-,Churned,Tier 2,Southeast,No,,,,,,,Sarah Mitchell
CM-11100,CON-51100,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-11,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,Sarah Mitchell
CM-10081,CON-50081,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-12,No Show,Churned,Enterprise,Southwest,No,,,,,,,Sarah Mitchell
CM-11032,CON-51032,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,Sarah Mitchell
CM-12145,CON-52145,[Paid Search],Paid Search,2026-01-07,-,Prospect,Tier 2,Southeast,No,,,,,,,Sarah Mitchell
CM-12258,CON-52258,[Paid Search],Paid Search,2026-03-01,-,Prospect,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-10698,CON-50698,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-03,Gift Delivered,Customer,Tier 2,Northeast,No,,,,,,,David Kim
CM-11264,CON-51264,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-22,-,Customer,Enterprise,West,No,,,,,,,James O'Brien
CM-10769,CON-50769,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-10,Gift Delivered,Customer,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-10956,CON-50956,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-23,Gift Delivered,Prospect,Tier 2,West,Yes,2026-03-02,,,,,,Sarah Mitchell
CM-10726,CON-50726,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-09,Gift Delivered,Prospect,Enterprise,Southeast,No,,,,,,,Rachel Torres
CM-11953,CON-51953,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-14,Registered,Prospect,Tier 2,Midwest,Yes,2026-03-23,OPP-80199,2026-03-31,16200.0,Discovery,,Marcus Webb
CM-11833,CON-51833,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-17,Registered,Prospect,Tier 2,Northeast,No,,,,,,,David Kim
CM-10067,CON-50067,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-08,No Show,Prospect,Tier 1,Northeast,No,,,,,,,Sarah Mitchell
CM-10763,CON-50763,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-08,-,Prospect,Tier 1,Southwest,No,,,,,,,James O'Brien
CM-11957,CON-51957,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-08,Clicked,Prospect,Enterprise,Northeast,No,,,,,,,Marcus Webb
CM-10374,CON-50374,CY26 Q1 - Hosted - Elevate Conference Utah Dinner - 2026-02-05,Hosted Events,2026-02-10,Attended,Customer,Tier 1,Southeast,Yes,2026-02-16,OPP-80083,2026-02-27,122400.0,Closed Won,122400.0,Sarah Mitchell
CM-11554,CON-51554,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-18,Registered,Prospect,Enterprise,Midwest,No,,,,,,,James O'Brien
CM-10350,CON-50350,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-29,Attended,Customer,Tier 1,Midwest,No,,,,,,,David Kim
